date,areaCode,cumCasesBySpecimenDate,newCasesBySpecimenDate
31/12/2020,N09000001,5054,137
31/12/2020,N09000006,3747,89
31/12/2020,N09000008,4774,93
31/12/2020,W06000011,14288,136
31/12/2020,N09000007,4982,114
31/12/2020,S12000014,2927,74
31/12/2020,N09000011,3461,70
31/12/2020,S12000035,925,13
31/12/2020,W06000022,8443,110
31/12/2020,E08000019,30176,180
31/12/2020,W06000009,2211,22
31/12/2020,E06000022,5019,72
31/12/2020,E10000013,13629,301
31/12/2020,W06000021,3148,45
31/12/2020,S12000006,2031,127
31/12/2020,W06000001,1203,8
31/12/2020,N09000005,9004,180
31/12/2020,W06000023,2554,58
31/12/2020,W06000006,7010,197
31/12/2020,S12000050,12839,216
31/12/2020,E09000019,8957,244
31/12/2020,E08000032,33957,177
31/12/2020,W06000013,10028,159
31/12/2020,W06000018,10543,115
31/12/2020,E08000028,17643,394
31/12/2020,S12000017,1398,75
31/12/2020,S12000018,1688,73
31/12/2020,W06000024,5508,44
31/12/2020,N09000004,4879,95
31/12/2020,E08000014,13054,301
31/12/2020,S12000042,4442,81
31/12/2020,W06000003,2311,22
31/12/2020,E08000009,10903,114
31/12/2020,W06000002,1780,10
31/12/2020,E10000030,40420,1178
31/12/2020,S12000028,2515,29
31/12/2020,E06000044,7989,183
31/12/2020,S12000026,1789,135
31/12/2020,N09000009,7060,195
31/12/2020,S12000008,3598,63
31/12/2020,W06000020,4846,51
31/12/2020,S12000038,6329,127
31/12/2020,N09000003,15020,251
31/12/2020,E06000051,7719,132
31/12/2020,E08000008,12142,109
31/12/2020,S12000045,3255,39
31/12/2020,E06000027,2363,23
31/12/2020,N09000002,7985,263
31/12/2020,E08000007,13225,181
31/12/2020,W06000005,5413,163
31/12/2020,N09000010,6556,205
31/12/2020,E06000031,7800,120
31/12/2020,E06000006,6280,193
31/12/2020,E06000046,2449,200
31/12/2020,S12000039,2623,36
31/12/2020,E09000006,15238,468
31/12/2020,E08000029,8379,146
31/12/2020,E06000014,7608,157
31/12/2020,S12000034,3234,121
31/12/2020,E08000021,17886,100
31/12/2020,E06000005,4603,75
31/12/2020,E08000018,13878,96
31/12/2020,E06000026,5536,69
31/12/2020,E08000036,16632,116
31/12/2020,E08000002,11993,110
31/12/2020,S12000023,39,0
31/12/2020,E10000028,36517,561
31/12/2020,W06000010,7957,87
31/12/2020,S12000036,10876,187
31/12/2020,S12000047,6567,128
31/12/2020,E09000005,14559,528
31/12/2020,S12000040,4459,45
31/12/2020,W06000012,9404,84
31/12/2020,E08000034,22989,171
31/12/2020,E06000037,3573,77
31/12/2020,S12000020,485,22
31/12/2020,E06000020,5679,81
31/12/2020,E09000010,18106,518
31/12/2020,E08000016,12707,94
31/12/2020,E09000013,7556,184
31/12/2020,E09000026,20512,625
31/12/2020,S12000005,1151,17
31/12/2020,E06000040,4953,119
31/12/2020,E06000055,7068,235
31/12/2020,S12000029,12156,130
31/12/2020,E06000025,9024,182
31/12/2020,S12000033,4374,74
31/12/2020,W06000004,2709,45
31/12/2020,S12000010,1706,23
31/12/2020,S12000030,1780,17
31/12/2020,S12000021,3563,59
31/12/2020,E10000019,26298,275
31/12/2020,W06000019,5153,49
31/12/2020,E09000029,9056,274
31/12/2020,S12000013,107,1
31/12/2020,W06000014,5344,87
31/12/2020,E08000022,8404,76
31/12/2020,E09000020,5323,142
31/12/2020,E06000013,6285,43
31/12/2020,E06000030,6455,225
31/12/2020,E09000017,14132,304
31/12/2020,E08000015,13289,364
31/12/2020,W06000008,1285,11
31/12/2020,E06000007,10889,176
31/12/2020,E09000015,11636,310
31/12/2020,S12000027,147,8
31/12/2020,W06000016,17699,161
31/12/2020,S12000048,2494,46
31/12/2020,E08000004,17084,123
31/12/2020,E09000030,18084,513
31/12/2020,E06000021,13198,142
31/12/2020,E06000057,11731,154
31/12/2020,S12000011,3012,49
31/12/2020,E08000010,19845,150
31/12/2020,E06000038,5588,125
31/12/2020,E06000010,13307,94
31/12/2020,E06000047,25308,364
31/12/2020,E10000007,28869,413
31/12/2020,E08000033,9938,84
31/12/2020,W06000015,20169,200
31/12/2020,E10000025,19203,572
31/12/2020,E06000009,6418,49
31/12/2020,E08000011,9389,172
31/12/2020,E09000009,15836,479
31/12/2020,S12000049,25662,307
31/12/2020,E10000015,43378,1271
31/12/2020,E06000035,18020,355
31/12/2020,E10000024,32282,479
31/12/2020,E10000006,15146,387
31/12/2020,E06000059,5255,178
31/12/2020,E08000027,15013,276
31/12/2020,E08000023,7970,108
31/12/2020,E10000002,17394,447
31/12/2020,E10000018,27194,429
31/12/2020,E08000017,15287,140
31/12/2020,E06000034,11180,351
31/12/2020,E06000008,12093,143
31/12/2020,E08000037,9654,89
31/12/2020,E10000011,16512,522
31/12/2020,E09000031,15008,393
31/12/2020,E09000033,8370,203
31/12/2020,E06000042,11275,308
31/12/2020,E06000015,11086,226
31/12/2020,E06000024,6114,97
31/12/2020,E08000003,36630,309
31/12/2020,E06000043,7818,337
31/12/2020,E06000033,9028,338
31/12/2020,E09000027,6714,184
31/12/2020,E08000012,28962,528
31/12/2020,E10000012,66662,2168
31/12/2020,S12000041,1691,32
31/12/2020,E09000012,13309,410
