date,county,count
31/01/2020,E09000017,9
01/02/2020,E09000017,566
02/02/2020,E09000017,613
03/02/2020,E09000017,6
04/02/2020,E09000017,5
05/02/2020,E09000017,1
06/02/2020,E09000017,583
07/02/2020,E09000017,8
08/02/2020,E09000017,564
09/02/2020,E09000017,400
10/02/2020,E09000017,7
11/02/2020,E09000017,2
12/02/2020,E09000017,5
13/02/2020,E09000017,6
14/02/2020,E09000017,9
15/02/2020,E09000017,554
16/02/2020,E09000017,565
17/02/2020,E09000017,11
18/02/2020,E09000017,8
19/02/2020,E09000017,3
20/02/2020,E09000017,5
21/02/2020,E09000017,2
22/02/2020,E09000017,583
23/02/2020,E09000017,1
24/02/2020,E09000017,7
25/02/2020,E09000017,4
26/02/2020,E09000017,4
27/02/2020,E09000017,4
28/02/2020,E09000017,5
29/02/2020,E09000017,576
01/03/2020,E09000017,630
02/03/2020,E09000017,10
03/03/2020,E09000017,7
04/03/2020,E09000017,4
05/03/2020,E09000017,6
06/03/2020,E09000017,7
07/03/2020,E09000017,544
08/03/2020,E09000017,610
09/03/2020,E09000017,7
10/03/2020,E09000017,7
11/03/2020,E09000017,5
12/03/2020,E09000017,10
13/03/2020,E09000017,5
14/03/2020,E09000017,526
15/03/2020,E09000017,567
16/03/2020,E09000017,6
17/03/2020,E09000017,5
18/03/2020,E09000017,3
19/03/2020,E09000017,2
20/03/2020,E09000017,321
21/03/2020,E09000017,279
22/03/2020,E09000017,275
23/03/2020,E09000017,2
24/03/2020,E09000017,1
25/03/2020,E09000017,173
26/03/2020,E09000017,194
27/03/2020,E09000017,197
28/03/2020,E09000017,170
29/03/2020,E09000017,170
30/03/2020,E09000017,125
31/03/2020,E09000017,119
01/04/2020,E09000017,97
02/04/2020,E09000017,1
03/04/2020,E09000017,106
04/04/2020,E09000017,101
05/04/2020,E09000017,109
06/04/2020,E09000017,72
07/04/2020,E09000017,1
08/04/2020,E09000017,83
09/04/2020,E09000017,90
10/04/2020,E09000017,79
11/04/2020,E09000017,79
12/04/2020,E09000017,82
13/04/2020,E09000017,78
14/04/2020,E09000017,65
15/04/2020,E09000017,79
16/04/2020,E09000017,79
17/04/2020,E09000017,80
18/04/2020,E09000017,75
19/04/2020,E09000017,91
20/04/2020,E09000017,84
21/04/2020,E09000017,79
22/04/2020,E09000017,84
23/04/2020,E09000017,92
24/04/2020,E09000017,85
25/04/2020,E09000017,86
26/04/2020,E09000017,97
27/04/2020,E09000017,85
28/04/2020,E09000017,86
29/04/2020,E09000017,103
30/04/2020,E09000017,100
01/05/2020,E09000017,103
02/05/2020,E09000017,1
03/05/2020,E09000017,107
04/05/2020,E09000017,92
05/05/2020,E09000017,95
06/05/2020,E09000017,100
07/05/2020,E09000017,1
08/05/2020,E09000017,109
09/05/2020,E09000017,104
10/05/2020,E09000017,112
11/05/2020,E09000017,108
12/05/2020,E09000017,1
13/05/2020,E09000017,107
14/05/2020,E09000017,115
15/05/2020,E09000017,113
16/05/2020,E09000017,107
17/05/2020,E09000017,113
18/05/2020,E09000017,113
19/05/2020,E09000017,103
20/05/2020,E09000017,114
21/05/2020,E09000017,124
22/05/2020,E09000017,113
23/05/2020,E09000017,122
24/05/2020,E09000017,124
25/05/2020,E09000017,113
26/05/2020,E09000017,100
27/05/2020,E09000017,116
28/05/2020,E09000017,116
29/05/2020,E09000017,115
30/05/2020,E09000017,112
31/05/2020,E09000017,121
01/06/2020,E09000017,116
02/06/2020,E09000017,104
03/06/2020,E09000017,117
04/06/2020,E09000017,134
05/06/2020,E09000017,129
06/06/2020,E09000017,123
07/06/2020,E09000017,137
08/06/2020,E09000017,127
09/06/2020,E09000017,108
10/06/2020,E09000017,122
11/06/2020,E09000017,119
12/06/2020,E09000017,1
13/06/2020,E09000017,119
14/06/2020,E09000017,132
15/06/2020,E09000017,130
16/06/2020,E09000017,104
17/06/2020,E09000017,131
18/06/2020,E09000017,2
19/06/2020,E09000017,128
20/06/2020,E09000017,123
21/06/2020,E09000017,141
22/06/2020,E09000017,137
23/06/2020,E09000017,112
24/06/2020,E09000017,124
25/06/2020,E09000017,134
26/06/2020,E09000017,129
27/06/2020,E09000017,123
28/06/2020,E09000017,140
29/06/2020,E09000017,129
30/06/2020,E09000017,1
01/07/2020,E09000017,1
02/07/2020,E09000017,162
03/07/2020,E09000017,176
04/07/2020,E09000017,164
05/07/2020,E09000017,166
06/07/2020,E09000017,3
07/07/2020,E09000017,2
08/07/2020,E09000017,4
09/07/2020,E09000017,3
10/07/2020,E09000017,8
11/07/2020,E09000017,175
12/07/2020,E09000017,192
13/07/2020,E09000017,5
14/07/2020,E09000017,5
15/07/2020,E09000017,7
16/07/2020,E09000017,5
17/07/2020,E09000017,6
18/07/2020,E09000017,230
19/07/2020,E09000017,1
20/07/2020,E09000017,4
21/07/2020,E09000017,2
22/07/2020,E09000017,5
23/07/2020,E09000017,3
24/07/2020,E09000017,5
25/07/2020,E09000017,234
26/07/2020,E09000017,245
27/07/2020,E09000017,1
28/07/2020,E09000017,5
29/07/2020,E09000017,6
30/07/2020,E09000017,2
31/07/2020,E09000017,6
01/08/2020,E09000017,275
02/08/2020,E09000017,1
03/08/2020,E09000017,5
04/08/2020,E09000017,4
05/08/2020,E09000017,2
06/08/2020,E09000017,6
07/08/2020,E09000017,5
08/08/2020,E09000017,268
09/08/2020,E09000017,275
10/08/2020,E09000017,264
11/08/2020,E09000017,2
12/08/2020,E09000017,3
13/08/2020,E09000017,3
14/08/2020,E09000017,5
15/08/2020,E09000017,253
16/08/2020,E09000017,262
17/08/2020,E09000017,3
18/08/2020,E09000017,7
19/08/2020,E09000017,2
20/08/2020,E09000017,7
21/08/2020,E09000017,4
22/08/2020,E09000017,1
23/08/2020,E09000017,2
24/08/2020,E09000017,6
25/08/2020,E09000017,1
26/08/2020,E09000017,5
27/08/2020,E09000017,6
28/08/2020,E09000017,4
29/08/2020,E09000017,1
30/08/2020,E09000017,270
31/08/2020,E09000017,269
01/09/2020,E09000017,3
02/09/2020,E09000017,7
03/09/2020,E09000017,6
04/09/2020,E09000017,2
05/09/2020,E09000017,267
06/09/2020,E09000017,275
07/09/2020,E09000017,7
08/09/2020,E09000017,196
09/09/2020,E09000017,2
10/09/2020,E09000017,6
11/09/2020,E09000017,6
12/09/2020,E09000017,265
13/09/2020,E09000017,274
14/09/2020,E09000017,5
15/09/2020,E09000017,4
16/09/2020,E09000017,6
17/09/2020,E09000017,1
18/09/2020,E09000017,5
19/09/2020,E09000017,259
20/09/2020,E09000017,2
21/09/2020,E09000017,3
22/09/2020,E09000017,1
23/09/2020,E09000017,2
24/09/2020,E09000017,6
25/09/2020,E09000017,6
26/09/2020,E09000017,1
27/09/2020,E09000017,269
28/09/2020,E09000017,2
29/09/2020,E09000017,1
30/09/2020,E09000017,6
01/10/2020,E09000017,1
02/10/2020,E09000017,5
03/10/2020,E09000017,304
04/10/2020,E09000017,318
05/10/2020,E09000017,4
06/10/2020,E09000017,4
07/10/2020,E09000017,3
08/10/2020,E09000017,5
09/10/2020,E09000017,3
10/10/2020,E09000017,1
11/10/2020,E09000017,316
12/10/2020,E09000017,1
13/10/2020,E09000017,6
14/10/2020,E09000017,5
15/10/2020,E09000017,3
16/10/2020,E09000017,2
17/10/2020,E09000017,303
18/10/2020,E09000017,302
19/10/2020,E09000017,1
20/10/2020,E09000017,3
21/10/2020,E09000017,3
22/10/2020,E09000017,8
23/10/2020,E09000017,4
24/10/2020,E09000017,314
25/10/2020,E09000017,335
26/10/2020,E09000017,2
27/10/2020,E09000017,5
28/10/2020,E09000017,4
29/10/2020,E09000017,1
30/10/2020,E09000017,4
31/10/2020,E09000017,315
01/11/2020,E09000017,333
02/11/2020,E09000017,4
03/11/2020,E09000017,4
04/11/2020,E09000017,2
05/11/2020,E09000017,3
06/11/2020,E09000017,1
07/11/2020,E09000017,221
08/11/2020,E09000017,225
09/11/2020,E09000017,3
10/11/2020,E09000017,1
11/11/2020,E09000017,152
12/11/2020,E09000017,2
13/11/2020,E09000017,2
14/11/2020,E09000017,165
15/11/2020,E09000017,192
16/11/2020,E09000017,169
17/11/2020,E09000017,2
18/11/2020,E09000017,2
19/11/2020,E09000017,1
20/11/2020,E09000017,4
21/11/2020,E09000017,166
22/11/2020,E09000017,182
23/11/2020,E09000017,2
24/11/2020,E09000017,154
25/11/2020,E09000017,2
26/11/2020,E09000017,3
27/11/2020,E09000017,2
28/11/2020,E09000017,165
29/11/2020,E09000017,186
30/11/2020,E09000017,2
01/12/2020,E09000017,1
02/12/2020,E09000017,3
03/12/2020,E09000017,5
04/12/2020,E09000017,4
05/12/2020,E09000017,184
06/12/2020,E09000017,217
07/12/2020,E09000017,1
08/12/2020,E09000017,3
09/12/2020,E09000017,2
10/12/2020,E09000017,6
11/12/2020,E09000017,7
12/12/2020,E09000017,229
13/12/2020,E09000017,1
14/12/2020,E09000017,4
15/12/2020,E09000017,202
16/12/2020,E09000017,6
17/12/2020,E09000017,5
18/12/2020,E09000017,2
19/12/2020,E09000017,316
20/12/2020,E09000017,307
21/12/2020,E09000017,247
22/12/2020,E09000017,203
23/12/2020,E09000017,216
24/12/2020,E09000017,176
25/12/2020,E09000017,116
26/12/2020,E09000017,138
27/12/2020,E09000017,179
28/12/2020,E09000017,171
29/12/2020,E09000017,142
30/12/2020,E09000017,175
02/02/2020,E06000018,2
03/02/2020,E06000018,1
04/02/2020,E06000018,4
05/02/2020,E06000018,5
