date,count
31/01/2020,2677
01/02/2020,2232
02/02/2020,2566
03/02/2020,2697
04/02/2020,2261
05/02/2020,2617
06/02/2020,2866
07/02/2020,2926
08/02/2020,2455
09/02/2020,1484
10/02/2020,2548
11/02/2020,2264
12/02/2020,2618
13/02/2020,2753
14/02/2020,3042
15/02/2020,2135
16/02/2020,2403
17/02/2020,2825
18/02/2020,2545
19/02/2020,2589
20/02/2020,2607
21/02/2020,2897
22/02/2020,2481
23/02/2020,2788
24/02/2020,2723
25/02/2020,2717
26/02/2020,2724
27/02/2020,2805
28/02/2020,2794
29/02/2020,2290
01/03/2020,2777
02/03/2020,3015
03/03/2020,2791
04/03/2020,2643
05/03/2020,2703
06/03/2020,3240
07/03/2020,2381
08/03/2020,2729
09/03/2020,2903
10/03/2020,2384
11/03/2020,2413
12/03/2020,2582
13/03/2020,3073
14/03/2020,2304
15/03/2020,2386
16/03/2020,2760
17/03/2020,2094
18/03/2020,1825
19/03/2020,1899
20/03/2020,1973
21/03/2020,1247
22/03/2020,1335
23/03/2020,1113
24/03/2020,759
25/03/2020,612
26/03/2020,620
27/03/2020,603
28/03/2020,423
29/03/2020,402
30/03/2020,397
31/03/2020,419
01/04/2020,430
02/04/2020,371
03/04/2020,422
04/04/2020,296
05/04/2020,279
06/04/2020,312
07/04/2020,339
08/04/2020,380
09/04/2020,358
10/04/2020,280
11/04/2020,216
12/04/2020,238
13/04/2020,234
14/04/2020,325
15/04/2020,399
16/04/2020,404
17/04/2020,332
18/04/2020,231
19/04/2020,244
20/04/2020,331
21/04/2020,387
22/04/2020,490
23/04/2020,500
24/04/2020,427
25/04/2020,293
26/04/2020,279
27/04/2020,401
28/04/2020,353
29/04/2020,440
30/04/2020,436
01/05/2020,408
02/05/2020,254
03/05/2020,292
04/05/2020,401
05/05/2020,447
06/05/2020,507
07/05/2020,506
08/05/2020,350
09/05/2020,295
10/05/2020,305
11/05/2020,414
12/05/2020,538
13/05/2020,546
14/05/2020,515
15/05/2020,557
16/05/2020,519
17/05/2020,484
18/05/2020,559
19/05/2020,672
20/05/2020,861
21/05/2020,682
22/05/2020,481
23/05/2020,385
24/05/2020,474
25/05/2020,887
26/05/2020,708
27/05/2020,844
28/05/2020,757
29/05/2020,869
30/05/2020,689
31/05/2020,586
01/06/2020,730
02/06/2020,940
03/06/2020,645
04/06/2020,738
05/06/2020,620
06/06/2020,455
07/06/2020,548
08/06/2020,744
09/06/2020,926
10/06/2020,639
11/06/2020,566
12/06/2020,564
13/06/2020,560
14/06/2020,613
15/06/2020,744
16/06/2020,709
17/06/2020,700
18/06/2020,592
19/06/2020,673
20/06/2020,846
21/06/2020,550
22/06/2020,874
23/06/2020,1035
24/06/2020,1217
25/06/2020,1213
26/06/2020,798
27/06/2020,474
28/06/2020,507
29/06/2020,616
30/06/2020,786
01/07/2020,1088
02/07/2020,1056
03/07/2020,1053
04/07/2020,822
05/07/2020,859
06/07/2020,1071
07/07/2020,1246
08/07/2020,1003
09/07/2020,1004
10/07/2020,1522
11/07/2020,1566
12/07/2020,1581
13/07/2020,1236
14/07/2020,1282
15/07/2020,1259
16/07/2020,1559
